Previous Rank,Weeks on List,ISBN,Price,Author,Title,Rank,List,Week
1,8,9781250158062,30,Michael Wolff,Fire and Fury,1,Hardcover Nonfiction,2/28/2018
2,43,9780393609394,18.95,Neil deGrasse Tyson,Astrophysics for People in a Hurry,2,Hardcover Nonfiction,2/28/2018
3,47,9780062457714,24.99,Mark Manson,The Subtle Art of Not Giving A F*ck,3,Hardcover Nonfiction,2/28/2018
,1,9780399590504,28,Tara Westover,Educated,4,Hardcover Nonfiction,2/28/2018
6,2,9780525427575,35,Steven Pinker,Enlightenment Now,5,Hardcover Nonfiction,2/28/2018
7,19,9781501139154,35,Walter Isaacson,Leonardo da Vinci,6,Hardcover Nonfiction,2/28/2018
8,2,9780345816023,25.95,Jordan B. Peterson,12 Rules for Life,7,Hardcover Nonfiction,2/28/2018
5,9,9781501181825,26,Tiffany Haddish,The Last Black Unicorn,8,Hardcover Nonfiction,2/28/2018
9,78,9780062300546,27.99,J.D. Vance,Hillbilly Elegy,9,Hardcover Nonfiction,2/28/2018
12,34,9780385534246,28.95,David Grann,Killers of the Flower Moon,10,Hardcover Nonfiction,2/28/2018
14,14,9781501124020,30,Ray Dalio,Principles,11,Hardcover Nonfiction,2/28/2018
4,4,9781101947319,28.95,Dave Eggers,The Monk of Mokha,12,Hardcover Nonfiction,2/28/2018
11,10,9780316512589,50,Pete Souza,Obama: An Intimate Portrait,13,Hardcover Nonfiction,2/28/2018
,1,9780374282219,27,Marilynne Robinson,What Are We Doing Here?: Essays,14,Hardcover Nonfiction,2/28/2018
,2,9781594206252,28,Zadie Smith,Feel Free,15,Hardcover Nonfiction,2/28/2018
1,8,9780399593598,9.99,Lee Child,No Middle Name,1,Mass Market,2/28/2018
2,3,9780804190145,9.99,Ernest Cline,Ready Player One,2,Mass Market,2/28/2018
3,33,9781101967683,9.99,John Grisham,The Whistler,3,Mass Market,2/28/2018
,1,9781501168918,9.99,Jason Matthews,Red Sparrow,4,Mass Market,2/28/2018
6,9,9781478944782,9.99,James Patterson,Never Never,5,Mass Market,2/28/2018
10,176,9780451524935,9.99,George Orwell,1984,6,Mass Market,2/28/2018
5,32,9780451490049,9.99,Liane Moriarty,The Husband's Secret,7,Mass Market,2/28/2018
4,13,9780062473363,9.99,Michael Crichton,Dragon Teeth,8,Mass Market,2/28/2018
9,5,9781101883938,8.99,Danielle Steel,Against All Odds,9,Mass Market,2/28/2018
8,8,9780451490445,9.99,Liane Moriarty,What Alice Forgot,10,Mass Market,2/28/2018
1,3,9780812985405,17,George Saunders,Lincoln in the Bardo,1,Trade Paperback Fiction,2/28/2018
2,4,9780345804327,16.95,Colson Whitehead,The Underground Railroad,2,Trade Paperback Fiction,2/28/2018
4,15,9781455563920,15.99,Min Jin Lee,Pachinko,3,Trade Paperback Fiction,2/28/2018
3,3,9781501160776,17,Fredrik Backman,Beartown,4,Trade Paperback Fiction,2/28/2018
8,3,9780804190138,16,Ernest Cline,Ready Player One,5,Trade Paperback Fiction,2/28/2018
9,8,9780062563675,16.99,Jessica Shattuck,The Women in the Castle,6,Trade Paperback Fiction,2/28/2018
5,46,9781501132957,16,Ruth Ware,The Woman in Cabin 10,7,Trade Paperback Fiction,2/28/2018
11,21,9781449486792,16.99,Rupi Kaur,The Sun and Her Flowers,8,Trade Paperback Fiction,2/28/2018
7,8,9780399563096,16,Georgia Hunter,We Were the Lucky Ones,9,Trade Paperback Fiction,2/28/2018
,1,9780345544971,17,Jodi Picoult,Small Great Things,10,Trade Paperback Fiction,2/28/2018
10,44,9780525435006,15.95,Margaret Atwood,The Handmaid's Tale,11,Trade Paperback Fiction,2/28/2018
6,47,9781501173219,17,Anthony Doerr,All the Light We Cannot See,12,Trade Paperback Fiction,2/28/2018
14,39,9780735221109,16,Shari Lapena,The Couple Next Door,13,Trade Paperback Fiction,2/28/2018
12,7,9781250169440,17,Andre Aciman,Call Me by Your Name,14,Trade Paperback Fiction,2/28/2018
13,77,9781449474256,14.99,Rupi Kaur,Milk and Honey,15,Trade Paperback Fiction,2/28/2018
1,136,9780762447695,16,Jen Sincero,You Are a Badass,1,Trade Paperback Nonfiction,2/28/2018
,1,9781101911532,16,Michael Finkel,The Stranger in the Woods,2,Trade Paperback Nonfiction,2/28/2018
2,13,9781101912379,20,Peter Frankopan,The Silk Roads,3,Trade Paperback Nonfiction,2/28/2018
3,9,9781501178511,18,Doug Stanton,12 Strong,4,Trade Paperback Nonfiction,2/28/2018
4,36,9781476759739,16,Jonah Berger,Invisible Influence,5,Trade Paperback Nonfiction,2/28/2018
5,25,9781250076229,16,Atul Gawande,Being Mortal,6,Trade Paperback Nonfiction,2/28/2018
6,78,9781633690196,24.95,Harvard Business School Press,HBR's 10 Must Reads on Emotional Intelligence,7,Trade Paperback Nonfiction,2/28/2018
7,58,9781422157992,24.95,Harvard Business School Press,HBR's 10 Must Reads on Managing Yourself,8,Trade Paperback Nonfiction,2/28/2018
8,41,9780553447453,17,Matthew Desmond,Evicted,9,Trade Paperback Nonfiction,2/28/2018
14,49,9780804190114,7.99,Timothy Snyder,On Tyranny,10,Trade Paperback Nonfiction,2/28/2018
12,4,9781591846444,16,Simon Sinek,Start With Why,11,Trade Paperback Nonfiction,2/28/2018
,3,9781591848011,17,Simon Sinek,Leaders Eat Last,12,Trade Paperback Nonfiction,2/28/2018
13,17,9780393354775,16.95,Michael Lewis,The Undoing Project,13,Trade Paperback Nonfiction,2/28/2018
11,24,9781455540013,15.99,Douglas J. Preston,The Lost City of the Monkey God,14,Trade Paperback Nonfiction,2/28/2018
,1,9781501102264,16,Amy Goldstein,Janesville: An American Story,15,Trade Paperback Nonfiction,2/28/2018
,,9780062498533,17.99,Angie Thomas,The Hate U Give,1,Young Adult,2/28/2018
,,9780525555360,19.99,John Green,Turtles All the Way Down,2,Young Adult,2/28/2018
,,9780525581611,10.99,David Levithan,Every Day,3,Young Adult,2/28/2018
,,9780062792167,10.99,Becky Albertalli,Simon vs. the Homo Sapiens Agenda,4,Young Adult,2/28/2018
,,9781626723634,16.99,Jen Wang,The Prince and the Dressmaker,5,Young Adult,2/28/2018
,,9780375815300,22.99,Philip Pullman,The Book of Dust: La Belle Sauvage,6,Young Adult,2/28/2018
,,9781524769604,10.99,Nicola Yoon,"Everything, Everything",7,Young Adult,2/28/2018
,,9780375847110,18.99,Tamora Pierce,Tempests and Slaughter,8,Young Adult,2/28/2018
,,9781524714680,17.99,Karen M. McManus,One of Us Is Lying,9,Young Adult,2/28/2018
